,TempHighF,TempAvgF,TempLowF,DewPointHighF,DewPointAvgF,DewPointLowF,HumidityHighPercent,HumidityAvgPercent,HumidityLowPercent,SeaLevelPressureHighInches,SeaLevelPressureAvgInches,VisibilityHighMiles,VisibilityAvgMiles,VisibilityLowMiles,WindHighMPH,WindAvgMPH,WindGustMPH,PrecipitationSumInches
32,70.0,54.0,37.0,39.0,27.0,24.0,70.0,45.0,19.0,30.23,30.11,10.0,10.0,10.0,12.0,4.0,18.0,0.0
33,56.0,42.0,27.0,42.0,29.0,20.0,78.0,64.0,50.0,30.73,30.47,10.0,8.0,2.0,20.0,9.0,31.0,0.06
34,40.0,33.0,26.0,22.0,17.0,10.0,81.0,60.0,39.0,30.76,30.63,10.0,9.0,3.0,16.0,5.0,24.0,0.05
35,70.0,48.0,26.0,38.0,27.0,22.0,85.0,53.0,20.0,30.38,30.19,10.0,10.0,8.0,8.0,1.0,14.0,0.0
36,76.0,60.0,43.0,45.0,39.0,33.0,76.0,52.0,27.0,30.0,29.84,10.0,10.0,10.0,12.0,3.0,20.0,0.0
37,60.0,47.0,34.0,43.0,23.0,5.0,66.0,44.0,21.0,30.28,30.09,10.0,10.0,10.0,21.0,9.0,32.0,0.02
38,39.0,33.0,27.0,19.0,14.0,7.0,69.0,48.0,27.0,30.51,30.4,10.0,10.0,10.0,15.0,6.0,23.0,0.05
39,49.0,38.0,27.0,19.0,13.0,9.0,63.0,42.0,21.0,30.52,30.41,10.0,10.0,10.0,15.0,5.0,23.0,0.0
40,65.0,48.0,31.0,51.0,36.0,20.0,80.0,64.0,48.0,30.26,30.06,10.0,10.0,10.0,15.0,7.0,27.0,0.0
41,80.0,68.0,55.0,59.0,54.0,51.0,86.0,64.0,42.0,29.96,29.87,10.0,10.0,9.0,14.0,9.0,25.0,0.0
42,76.0,66.0,55.0,62.0,59.0,41.0,81.0,71.0,60.0,29.91,29.81,10.0,10.0,9.0,14.0,6.0,26.0,0.0
43,55.0,45.0,35.0,40.0,33.0,27.0,79.0,69.0,59.0,30.27,30.09,10.0,8.0,4.0,18.0,11.0,29.0,0.02
44,46.0,40.0,34.0,38.0,33.0,28.0,82.0,74.0,65.0,30.28,30.17,10.0,6.0,3.0,13.0,6.0,17.0,0.0
45,64.0,53.0,42.0,45.0,41.0,39.0,89.0,68.0,46.0,30.11,29.95,10.0,6.0,2.0,10.0,2.0,18.0,0.15
46,48.0,40.0,31.0,42.0,26.0,16.0,80.0,60.0,39.0,30.5,30.37,10.0,10.0,10.0,16.0,10.0,24.0,0.0
47,32.0,29.0,26.0,17.0,15.0,13.0,58.0,54.0,49.0,30.57,30.48,10.0,10.0,10.0,15.0,8.0,23.0,0.0
48,38.0,34.0,29.0,29.0,24.0,17.0,78.0,68.0,58.0,30.41,30.32,10.0,7.0,2.0,8.0,3.0,12.0,0.0
49,65.0,51.0,37.0,42.0,36.0,29.0,85.0,63.0,40.0,30.26,30.17,10.0,7.0,3.0,14.0,5.0,21.0,0.0
50,76.0,59.0,41.0,53.0,45.0,38.0,96.0,70.0,44.0,30.12,30.05,10.0,5.0,0.0,13.0,4.0,20.0,0.0
51,60.0,48.0,35.0,49.0,36.0,30.0,82.0,74.0,66.0,30.23,30.15,10.0,8.0,4.0,15.0,9.0,23.0,0.0
52,36.0,35.0,33.0,31.0,29.0,27.0,89.0,80.0,70.0,30.3,30.24,9.0,5.0,1.0,15.0,9.0,23.0,0.1
53,57.0,45.0,33.0,34.0,29.0,27.0,75.0,57.0,38.0,30.27,30.18,10.0,9.0,7.0,14.0,5.0,22.0,0.0
54,69.0,51.0,32.0,38.0,34.0,28.0,85.0,58.0,30.0,30.11,30.02,10.0,10.0,10.0,10.0,4.0,19.0,0.0
55,86.0,67.0,47.0,48.0,37.0,22.0,86.0,51.0,15.0,30.08,29.93,10.0,10.0,8.0,18.0,6.0,30.0,0.0
56,76.0,59.0,42.0,52.0,35.0,22.0,64.0,43.0,22.0,30.17,30.09,10.0,10.0,10.0,15.0,5.0,23.0,0.0
57,76.0,68.0,59.0,61.0,57.0,53.0,90.0,74.0,57.0,30.08,30.01,10.0,5.0,0.0,13.0,5.0,23.0,0.0
58,81.0,70.0,58.0,62.0,50.0,29.0,87.0,52.0,17.0,30.12,30.03,10.0,8.0,2.0,15.0,5.0,23.0,0.0
59,82.0,69.0,55.0,63.0,53.0,32.0,78.0,55.0,32.0,30.1,30.0,10.0,10.0,9.0,13.0,4.0,20.0,0.0
60,82.0,73.0,63.0,62.0,60.0,59.0,93.0,70.0,47.0,29.93,29.85,10.0,9.0,2.0,15.0,7.0,25.0,0.0
61,83.0,70.0,57.0,64.0,50.0,27.0,81.0,48.0,15.0,30.09,29.85,10.0,9.0,7.0,16.0,8.0,28.0,0.0
62,72.0,57.0,41.0,33.0,27.0,22.0,67.0,43.0,19.0,30.21,30.11,10.0,10.0,10.0,14.0,5.0,20.0,0.0
63,77.0,63.0,48.0,57.0,46.0,30.0,73.0,53.0,32.0,30.05,29.96,10.0,10.0,10.0,14.0,6.0,22.0,0.0
64,86.0,74.0,62.0,61.0,56.0,44.0,84.0,57.0,29.0,30.05,29.95,10.0,10.0,7.0,15.0,4.0,24.0,0.0
65,76.0,66.0,55.0,63.0,51.0,43.0,81.0,65.0,49.0,30.1,30.04,10.0,9.0,5.0,12.0,4.0,18.0,0.0
66,71.0,62.0,52.0,65.0,60.0,47.0,93.0,85.0,77.0,30.06,30.01,10.0,4.0,1.0,12.0,5.0,20.0,0.0
67,52.0,44.0,36.0,46.0,33.0,21.0,83.0,63.0,43.0,30.26,30.18,10.0,8.0,2.0,20.0,8.0,29.0,0.11
68,59.0,45.0,31.0,32.0,27.0,21.0,82.0,56.0,29.0,30.22,30.1,10.0,10.0,10.0,12.0,3.0,17.0,0.0
69,80.0,62.0,44.0,50.0,46.0,35.0,83.0,60.0,37.0,29.92,29.85,10.0,10.0,7.0,13.0,6.0,21.0,0.0
70,82.0,68.0,53.0,65.0,57.0,48.0,93.0,74.0,54.0,30.02,29.95,10.0,7.0,0.0,16.0,5.0,27.0,0.0
71,73.0,51.0,28.0,67.0,45.0,20.0,89.0,79.0,69.0,30.31,30.05,10.0,8.0,2.0,20.0,10.0,37.0,0.08
72,47.0,36.0,24.0,27.0,20.0,12.0,75.0,56.0,37.0,30.44,30.33,10.0,9.0,4.0,18.0,10.0,29.0,0.08
73,50.0,40.0,30.0,36.0,31.0,26.0,92.0,72.0,52.0,30.31,30.18,10.0,8.0,2.0,9.0,4.0,13.0,0.17
74,53.0,46.0,38.0,43.0,39.0,35.0,86.0,76.0,66.0,30.18,30.06,10.0,7.0,4.0,13.0,3.0,16.0,0.0
75,65.0,54.0,43.0,42.0,38.0,35.0,89.0,62.0,34.0,30.28,30.18,10.0,8.0,4.0,13.0,4.0,20.0,0.0
76,67.0,53.0,39.0,50.0,42.0,36.0,86.0,65.0,44.0,30.1,29.99,10.0,9.0,5.0,16.0,6.0,22.0,0.0
77,59.0,52.0,44.0,57.0,49.0,39.0,93.0,88.0,83.0,30.3,30.09,10.0,3.0,1.0,14.0,4.0,21.0,0.74
78,58.0,49.0,39.0,45.0,39.0,31.0,86.0,71.0,55.0,30.37,30.29,10.0,9.0,2.0,15.0,5.0,23.0,0.11
79,71.0,61.0,50.0,56.0,51.0,45.0,84.0,69.0,53.0,30.25,30.08,10.0,9.0,4.0,12.0,3.0,17.0,0.01
80,83.0,70.0,56.0,56.0,54.0,52.0,93.0,66.0,39.0,29.93,29.77,10.0,9.0,4.0,14.0,5.0,22.0,0.0
81,70.0,60.0,49.0,50.0,28.0,16.0,56.0,36.0,16.0,30.3,30.13,10.0,10.0,10.0,24.0,11.0,37.0,0.0
82,68.0,52.0,37.0,40.0,26.0,20.0,68.0,35.0,21.0,30.37,30.26,10.0,10.0,10.0,9.0,4.0,18.0,0.0
83,75.0,62.0,49.0,59.0,51.0,43.0,86.0,68.0,49.0,30.11,30.04,10.0,10.0,10.0,13.0,5.0,24.0,0.0
84,74.0,68.0,62.0,64.0,62.0,59.0,93.0,81.0,68.0,29.97,29.86,10.0,5.0,0.0,12.0,4.0,17.0,0.07
85,64.0,56.0,48.0,58.0,45.0,32.0,93.0,66.0,39.0,30.07,29.9,10.0,10.0,10.0,24.0,11.0,36.0,0.0
86,68.0,55.0,41.0,31.0,26.0,20.0,53.0,36.0,18.0,30.06,29.94,10.0,10.0,10.0,16.0,6.0,26.0,0.0
87,83.0,65.0,47.0,56.0,42.0,31.0,73.0,49.0,24.0,29.83,29.74,10.0,10.0,10.0,18.0,8.0,26.0,0.0
88,72.0,62.0,51.0,55.0,37.0,28.0,80.0,52.0,24.0,30.21,30.07,10.0,9.0,6.0,15.0,6.0,26.0,0.0
89,76.0,59.0,42.0,40.0,36.0,31.0,82.0,52.0,21.0,30.25,30.15,10.0,10.0,10.0,10.0,2.0,15.0,0.0
90,80.0,67.0,54.0,60.0,54.0,41.0,93.0,69.0,45.0,30.03,29.95,10.0,8.0,0.0,17.0,7.0,27.0,0.0
91,77.0,69.0,61.0,65.0,62.0,51.0,100.0,80.0,60.0,30.02,29.95,10.0,7.0,1.0,12.0,4.0,17.0,0.0
92,61.0,54.0,47.0,51.0,43.0,36.0,72.0,62.0,51.0,30.27,30.19,10.0,10.0,9.0,17.0,9.0,30.0,0.0
93,66.0,58.0,50.0,47.0,42.0,38.0,72.0,58.0,44.0,30.24,30.14,10.0,10.0,10.0,10.0,3.0,15.0,0.0
94,69.0,57.0,44.0,46.0,38.0,31.0,93.0,61.0,28.0,30.35,30.24,10.0,10.0,7.0,15.0,5.0,22.0,0.0
95,66.0,60.0,54.0,55.0,47.0,30.0,78.0,57.0,36.0,30.2,30.08,10.0,10.0,6.0,22.0,10.0,33.0,0.0
96,82.0,72.0,61.0,68.0,63.0,56.0,100.0,78.0,55.0,29.95,29.83,10.0,7.0,1.0,16.0,8.0,26.0,0.01
97,89.0,76.0,63.0,67.0,61.0,49.0,90.0,64.0,37.0,30.0,29.79,10.0,8.0,2.0,18.0,5.0,27.0,0.0
98,77.0,64.0,51.0,48.0,40.0,30.0,68.0,43.0,18.0,30.28,30.18,10.0,10.0,10.0,13.0,5.0,21.0,0.0
99,79.0,62.0,45.0,51.0,43.0,38.0,83.0,56.0,29.0,30.22,30.13,10.0,10.0,10.0,20.0,8.0,30.0,0.0
100,85.0,73.0,60.0,62.0,57.0,53.0,90.0,65.0,40.0,30.01,29.93,10.0,10.0,10.0,16.0,9.0,27.0,0.0
101,86.0,76.0,66.0,67.0,64.0,62.0,93.0,71.0,48.0,29.99,29.92,10.0,8.0,4.0,17.0,8.0,28.0,0.0
102,82.0,76.0,70.0,69.0,67.0,63.0,97.0,78.0,58.0,29.9,29.8,10.0,9.0,4.0,16.0,9.0,30.0,0.0
103,82.0,77.0,71.0,69.0,67.0,66.0,90.0,74.0,58.0,29.81,29.74,10.0,8.0,5.0,14.0,7.0,25.0,0.0
104,74.0,64.0,54.0,69.0,35.0,28.0,93.0,58.0,22.0,30.14,30.03,10.0,10.0,5.0,17.0,8.0,28.0,0.0
105,65.0,60.0,54.0,46.0,38.0,33.0,60.0,48.0,36.0,30.08,29.99,10.0,10.0,10.0,10.0,4.0,17.0,0.0
106,61.0,57.0,52.0,51.0,49.0,45.0,96.0,76.0,55.0,29.89,29.81,10.0,7.0,2.0,12.0,5.0,19.0,0.2
107,72.0,62.0,52.0,51.0,49.0,47.0,93.0,69.0,44.0,30.05,29.92,10.0,9.0,2.0,25.0,3.0,57.0,0.27
108,77.0,64.0,50.0,50.0,38.0,27.0,96.0,57.0,18.0,30.2,30.14,10.0,10.0,10.0,22.0,8.0,37.0,0.0
109,84.0,65.0,45.0,51.0,42.0,37.0,77.0,51.0,24.0,30.27,30.17,10.0,10.0,10.0,13.0,6.0,22.0,0.0
110,87.0,72.0,57.0,59.0,53.0,48.0,90.0,59.0,27.0,30.11,30.01,10.0,10.0,10.0,17.0,10.0,31.0,0.0
111,85.0,73.0,61.0,61.0,59.0,56.0,90.0,65.0,40.0,30.04,29.98,10.0,10.0,7.0,16.0,8.0,25.0,0.0
112,85.0,75.0,65.0,63.0,62.0,60.0,87.0,66.0,44.0,29.99,29.91,10.0,10.0,9.0,20.0,10.0,30.0,0.0
113,78.0,73.0,68.0,68.0,66.0,61.0,90.0,79.0,67.0,29.85,29.76,10.0,9.0,8.0,18.0,7.0,29.0,0.0
114,73.0,58.0,43.0,69.0,46.0,32.0,90.0,65.0,39.0,30.27,29.96,10.0,8.0,0.0,22.0,10.0,38.0,1.34
115,65.0,52.0,39.0,32.0,25.0,16.0,59.0,39.0,19.0,30.38,30.27,10.0,10.0,10.0,12.0,4.0,17.0,0.0
116,73.0,57.0,40.0,48.0,40.0,31.0,76.0,56.0,35.0,30.15,30.06,10.0,10.0,10.0,16.0,7.0,26.0,0.0
117,67.0,62.0,56.0,61.0,57.0,49.0,97.0,85.0,72.0,30.17,30.09,10.0,7.0,1.0,10.0,4.0,15.0,0.06
118,78.0,69.0,59.0,61.0,57.0,51.0,93.0,68.0,43.0,30.23,30.17,10.0,6.0,2.0,9.0,2.0,16.0,0.01
119,78.0,66.0,54.0,56.0,54.0,52.0,93.0,68.0,43.0,30.18,30.12,10.0,9.0,4.0,13.0,5.0,19.0,0.0
120,75.0,68.0,61.0,63.0,59.0,55.0,97.0,77.0,57.0,30.15,30.1,10.0,8.0,2.0,12.0,6.0,19.0,0.0
121,84.0,74.0,64.0,65.0,63.0,57.0,93.0,72.0,51.0,30.07,30.01,10.0,9.0,2.0,14.0,5.0,25.0,0.01
122,87.0,75.0,63.0,63.0,58.0,55.0,87.0,61.0,35.0,30.03,29.96,10.0,10.0,10.0,12.0,3.0,20.0,0.0
123,87.0,73.0,59.0,64.0,61.0,57.0,90.0,68.0,46.0,29.93,29.85,10.0,10.0,10.0,17.0,7.0,29.0,0.0
124,88.0,78.0,67.0,66.0,62.0,44.0,87.0,63.0,38.0,29.91,29.82,10.0,10.0,9.0,16.0,5.0,26.0,0.0
125,88.0,76.0,63.0,64.0,54.0,45.0,68.0,51.0,34.0,30.01,29.92,10.0,10.0,10.0,12.0,6.0,20.0,0.0
126,86.0,77.0,68.0,69.0,66.0,62.0,90.0,73.0,55.0,29.87,29.78,10.0,6.0,2.0,16.0,8.0,28.0,0.0
127,96.0,85.0,73.0,70.0,66.0,41.0,87.0,51.0,15.0,29.63,29.55,10.0,6.0,3.0,14.0,6.0,24.0,0.0
128,93.0,80.0,66.0,69.0,39.0,25.0,67.0,39.0,10.0,29.7,29.61,10.0,10.0,7.0,14.0,4.0,22.0,0.0
129,84.0,72.0,60.0,46.0,34.0,22.0,60.0,36.0,11.0,29.96,29.77,10.0,10.0,10.0,17.0,7.0,28.0,0.0
130,75.0,66.0,57.0,38.0,33.0,31.0,42.0,32.0,21.0,30.17,30.08,10.0,10.0,10.0,16.0,6.0,28.0,0.0
131,77.0,65.0,52.0,43.0,33.0,25.0,63.0,39.0,15.0,30.19,30.12,10.0,10.0,10.0,10.0,3.0,18.0,0.0
132,83.0,70.0,56.0,40.0,35.0,27.0,51.0,33.0,14.0,30.09,30.02,10.0,10.0,10.0,9.0,3.0,17.0,0.0
133,94.0,76.0,58.0,42.0,35.0,26.0,44.0,27.0,10.0,30.06,30.0,10.0,10.0,10.0,13.0,4.0,20.0,0.0
134,91.0,76.0,61.0,42.0,37.0,32.0,37.0,27.0,16.0,30.09,30.02,10.0,10.0,10.0,14.0,7.0,23.0,0.0
135,92.0,76.0,60.0,59.0,56.0,44.0,90.0,61.0,32.0,30.01,29.91,10.0,10.0,10.0,16.0,8.0,27.0,0.0
136,87.0,76.0,65.0,64.0,62.0,57.0,87.0,66.0,45.0,29.87,29.81,10.0,10.0,10.0,17.0,9.0,29.0,0.0
137,88.0,79.0,70.0,67.0,64.0,62.0,84.0,65.0,46.0,29.88,29.81,10.0,10.0,10.0,18.0,9.0,31.0,0.0
138,84.0,79.0,73.0,73.0,70.0,67.0,84.0,75.0,65.0,29.87,29.81,10.0,6.0,2.0,17.0,8.0,30.0,0.06
139,86.0,76.0,66.0,71.0,68.0,58.0,87.0,69.0,50.0,29.96,29.89,10.0,5.0,1.0,20.0,5.0,39.0,0.0
140,91.0,76.0,60.0,66.0,62.0,58.0,97.0,71.0,44.0,29.92,29.84,10.0,10.0,5.0,16.0,6.0,23.0,0.0
141,93.0,83.0,72.0,68.0,67.0,65.0,84.0,63.0,41.0,29.84,29.77,10.0,9.0,4.0,18.0,10.0,30.0,0.0
142,82.0,72.0,62.0,76.0,70.0,61.0,94.0,87.0,79.0,29.95,29.84,10.0,5.0,0.0,18.0,7.0,26.0,2.45
143,67.0,61.0,55.0,60.0,54.0,48.0,93.0,73.0,52.0,30.25,30.09,10.0,8.0,2.0,16.0,8.0,31.0,0.94
144,76.0,64.0,51.0,51.0,43.0,32.0,93.0,57.0,21.0,30.29,30.24,10.0,10.0,5.0,17.0,7.0,28.0,0.14
145,84.0,65.0,46.0,47.0,41.0,33.0,93.0,55.0,17.0,30.3,30.22,10.0,10.0,10.0,10.0,3.0,17.0,0.0
146,86.0,74.0,61.0,48.0,43.0,36.0,60.0,40.0,20.0,30.14,30.06,10.0,10.0,10.0,15.0,7.0,27.0,0.0
147,86.0,73.0,60.0,59.0,55.0,47.0,84.0,58.0,32.0,30.02,29.97,10.0,10.0,10.0,17.0,9.0,26.0,0.0
148,85.0,74.0,62.0,61.0,59.0,57.0,93.0,67.0,40.0,30.09,30.03,10.0,10.0,8.0,16.0,8.0,24.0,0.0
149,86.0,76.0,66.0,64.0,61.0,57.0,87.0,65.0,43.0,30.07,30.0,10.0,10.0,10.0,18.0,10.0,27.0,0.0
150,89.0,78.0,67.0,65.0,62.0,59.0,84.0,63.0,42.0,30.08,30.01,10.0,10.0,10.0,14.0,9.0,26.0,0.0
151,89.0,80.0,70.0,66.0,64.0,61.0,84.0,61.0,38.0,30.1,30.02,10.0,10.0,10.0,16.0,8.0,27.0,0.0
152,87.0,79.0,70.0,68.0,65.0,61.0,90.0,70.0,50.0,30.11,30.05,10.0,10.0,7.0,15.0,7.0,25.0,0.0
153,84.0,78.0,71.0,71.0,67.0,62.0,84.0,69.0,54.0,30.09,30.03,10.0,8.0,0.0,14.0,6.0,20.0,0.19
154,86.0,78.0,70.0,70.0,68.0,66.0,97.0,79.0,61.0,30.06,29.99,10.0,9.0,7.0,15.0,7.0,23.0,0.0
155,87.0,80.0,72.0,67.0,66.0,63.0,84.0,66.0,48.0,30.07,29.98,10.0,10.0,10.0,15.0,6.0,24.0,0.0
156,75.0,70.0,64.0,70.0,65.0,61.0,93.0,83.0,73.0,30.09,30.0,10.0,8.0,1.0,17.0,5.0,29.0,1.56
157,73.0,68.0,63.0,67.0,64.0,61.0,93.0,86.0,79.0,30.03,29.95,10.0,6.0,0.0,22.0,3.0,31.0,1.75
158,84.0,76.0,68.0,68.0,66.0,62.0,97.0,74.0,51.0,29.94,29.88,10.0,7.0,2.0,14.0,4.0,22.0,0.0
159,89.0,78.0,66.0,65.0,63.0,61.0,93.0,66.0,38.0,29.89,29.85,10.0,10.0,10.0,9.0,2.0,15.0,0.0
160,94.0,81.0,68.0,67.0,65.0,60.0,84.0,60.0,36.0,29.86,29.82,10.0,10.0,10.0,9.0,3.0,17.0,0.0
161,93.0,82.0,70.0,69.0,67.0,65.0,84.0,63.0,41.0,29.89,29.85,10.0,10.0,10.0,10.0,3.0,20.0,0.0
162,88.0,80.0,71.0,71.0,69.0,63.0,93.0,69.0,45.0,29.97,29.9,10.0,8.0,2.0,14.0,4.0,20.0,0.0
163,91.0,83.0,74.0,71.0,69.0,67.0,87.0,67.0,47.0,29.97,29.91,10.0,10.0,8.0,13.0,7.0,22.0,0.0
164,90.0,83.0,75.0,72.0,70.0,68.0,82.0,67.0,52.0,30.03,29.96,10.0,10.0,10.0,10.0,6.0,17.0,0.0
165,91.0,83.0,74.0,71.0,70.0,68.0,87.0,70.0,52.0,29.93,29.86,10.0,10.0,10.0,12.0,7.0,21.0,0.0
166,91.0,83.0,74.0,72.0,70.0,68.0,87.0,72.0,56.0,29.87,29.82,10.0,10.0,10.0,14.0,7.0,22.0,0.0
167,92.0,83.0,73.0,71.0,70.0,69.0,87.0,70.0,52.0,29.97,29.88,10.0,10.0,9.0,14.0,7.0,25.0,0.0
168,92.0,83.0,74.0,72.0,70.0,67.0,93.0,71.0,49.0,29.97,29.89,10.0,10.0,10.0,14.0,7.0,26.0,0.0
169,90.0,83.0,76.0,72.0,70.0,64.0,87.0,67.0,46.0,29.99,29.88,10.0,10.0,5.0,16.0,7.0,27.0,0.0
170,86.0,77.0,68.0,75.0,71.0,66.0,91.0,78.0,65.0,29.92,29.81,10.0,8.0,1.0,14.0,4.0,22.0,0.55
171,92.0,78.0,64.0,70.0,61.0,56.0,97.0,64.0,30.0,29.9,29.85,10.0,10.0,9.0,13.0,3.0,20.0,0.0
172,94.0,80.0,66.0,73.0,66.0,62.0,87.0,64.0,41.0,29.89,29.83,10.0,10.0,10.0,14.0,5.0,21.0,0.0
173,92.0,80.0,68.0,74.0,72.0,67.0,79.0,68.0,56.0,29.98,29.82,10.0,9.0,1.0,24.0,8.0,47.0,1.49
174,89.0,79.0,68.0,0.0,0.0,0.0,95.0,75.0,55.0,30.01,29.95,0.0,0.0,0.0,15.0,4.0,22.0,0.0
175,87.0,92.0,73.0,0.0,0.0,0.0,95.0,77.0,59.0,29.99,29.93,0.0,0.0,0.0,15.0,6.0,22.0,0.0
176,91.0,83.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,29.98,29.9,0.0,0.0,0.0,14.0,9.0,23.0,0.0
177,92.0,84.0,75.0,0.0,0.0,0.0,94.0,72.0,49.0,30.05,29.99,0.0,0.0,0.0,12.0,8.0,24.0,0.0
178,92.0,84.0,75.0,72.0,69.0,66.0,88.0,69.0,49.0,30.04,29.99,10.0,10.0,10.0,12.0,9.0,22.0,0.0
179,92.0,85.0,77.0,75.0,72.0,67.0,91.0,68.0,44.0,30.03,29.96,10.0,9.0,4.0,16.0,9.0,26.0,0.02
180,91.0,84.0,76.0,74.0,71.0,66.0,88.0,68.0,47.0,30.05,30.0,10.0,10.0,10.0,13.0,6.0,22.0,0.01
181,91.0,83.0,75.0,73.0,71.0,67.0,88.0,69.0,50.0,30.11,30.04,10.0,10.0,9.0,13.0,5.0,19.0,0.0
182,92.0,84.0,75.0,74.0,72.0,68.0,94.0,72.0,49.0,30.07,29.99,10.0,10.0,8.0,15.0,6.0,21.0,0.0
183,90.0,83.0,76.0,74.0,72.0,68.0,85.0,70.0,55.0,29.96,29.9,10.0,9.0,8.0,13.0,8.0,22.0,0.0
